provided_interaction_type_label,provided_interaction_type_id,mapped_to_interaction_type_label,mapped_to_interaction_type_id,,,
Dominant trees include,,ignore,,,,
Dominant vegatation,,ignore,,,,
Dominant vegetation,,ignore,,,,
Dominant vegetation,,ignore,,,,
Dominants,,ignore,,,,
dominants,,ignore,,,,
Dominants,,ignore,,,,
Dominants in chaparral,,ignore,,,,
Dominants in chapparal,,ignore,,,,
Dominants in mesic areas,,ignore,,,,
dominants in understory,,ignore,,,,
Dominants in woodland,,ignore,,,,
Dominants in woodland,,ignore,,,,
Dominants inc.,,ignore,,,,
Dominants incl.,,ignore,,,,
Dominants include,,ignore,,,,
dominants include,,ignore,,,,
Dominants include,,ignore,,,,
dominants indluce,,ignore,,,,
dominate vascular species,,ignore,,,,
dominated by,,ignore,,,,
Dominated by,,ignore,,,,
dominated by Acer saccharum and Tilia americana. Other sedges collected here include,,ignore,,,,
dominated by Acer saccharum and Tilia americana. Other sedges collected here on this date include,,ignore,,,,
dominated by Acer saccharum and Tilia americana. Other sedges collected in the vacinity include,,ignore,,,,
dominated by Acer saccharum. Other sedges collected here include,,ignore,,,,
dominated by Acer saccharum. Other species collected in this habitat include,,ignore,,,,
dominated by Artemisia tridentata and Chrysothamnus nauseosus. Associated,,ignore,,,,
dominated by balsam poplar. Assoc. species,,ignore,,,,
dominated by Bolboschoenus fluviatilis. associated sedges include,,ignore,,,,
Dominated by Carex sterilis and C. aquatilis. Associated species include,,ignore,,,,
Dominated by Carex stricta. Other Cyperaceae collected here include,,ignore,,,,
Dominated by Carex stricta. Other species collected here include,,ignore,,,,
Dominated by Celtis occidentalis and Tilia americana. Common associates include,,ignore,,,,
Dominated by early succession elements including,,ignore,,,,
dominated by Fraxinus nigra and Alnus incana ssp. rugosa. Other species collected here include,,ignore,,,,
Dominated by Fraxinus nigra and Populus tremuloides. Other sedges collected at this site include,,ignore,,,,
dominated by Fraxinus nigra and Populus tremuloides. Other sedges collected here include,,ignore,,,,
Dominated by Fraxinus nigra and Populus tremuloides. Other sedges collected here on this date include,,ignore,,,,
dominated by Fraxinus nigra and Populus tremuloides. Other species collected here include,,ignore,,,,
Dominated by Fraxinus nigra and Populus tremuloides. Other species collected here include,,ignore,,,,
Dominated by Fraxinus nigra and Populus tremuloides. Sedges collected at this site include,,ignore,,,,
Dominated by Fraxinus nigra and Populus tremuloides. Sedges collected here on this date include,,ignore,,,,
Dominated by Fraxinus nigra. Other sedges collected here on this date include,,ignore,,,,
dominated by Picea glauca and Populus tremuloides. Rich understory includes,,ignore,,,,
dominated by Populus deltoides and Salix interior. Assoc. species,,ignore,,,,
dominated by Populus tremuloides and Fraxinus nigra. Other sedges collected here on this date include,,ignore,,,,
Dominated by Populus tremuloides and Fraxinus nigra. Other sedges collected here on this date include,,ignore,,,,
dominated by Populus tremuloides and Fraxinus pennsylvanica. Sedges collected at this site include,,ignore,,,,
dominated by Populus tremuloides. Other species collected here include,,ignore,,,,
dominated by Quercus macrocarpa and Tilia americana. Other sedges collected at this site include,,ignore,,,,
Dominated by Quercus macrocarpa and Tilia americana. Other sedges collected here on this date include,,ignore,,,,
dominated by Quercus rubra and Q. alba. Other sedges collected here include,,ignore,,,,
dominated by Quercus rubra and Tilia americana. Other sedges collected here include,,ignore,,,,
dominated by Tamarack with central clump of Black Spruce Occasional Red Maple. Assoc. species,,ignore,,,,
dominated by Tamarack with one central clump of Black Spruce With occasional tree of Red Maple. Assoc. species,,ignore,,,,
dominated by Thuja occidentalis and Pinus strobus. Associated species include,,ignore,,,,
Dominated by Tilia americana and Fraxinus pennsylvanica. Other sedges collected here include,,ignore,,,,
dominated by Tilia americana. Other sedges collected here include,,ignore,,,,
dominated by Typha angustifolia. Other sedges collected here include,,ignore,,,,
dominated marsh. Other sedges collected in this habitat include,,ignore,,,,
dominents in understory,,ignore,,,,
Domonants,,ignore,,,,
Domonants,,ignore,,,,
dorsal lobes (upper 2) tinged purple/red. Growing sympatrically with Clark #6776. Label remarks,,ignore,,,,
dorsal two lobes uniformly palle-yellow and lacking spots. Label remarks,,ignore,,,,
dorsal view,,ignore,,,,
dorsal view,,ignore,,,,
Dorsal view of well developed veliger. File,,ignore,,,,
Douglas fir-Ponderosa pine-white fir forest with scatered cork bark fir. Assoc. spp,,ignore,,,,
Draba cuneifolia.  On cliff,,ignore,,,,
Draba cuneifolia.  On cliff,,ignore,,,,
dragonfly (Odonata,,ignore,,,,
Drawing of right side of veliger. File,,ignore,,,,
Drawing of right side of veliger.<br/><br/> File,,ignore,,,,
Drawing of right side of young veliger. File,,ignore,,,,
Dry areas,,ignore,,,,
dry clay flats in canyon bottom. Associated species,,ignore,,,,
Dry coastal scrub. Associated taxa,,ignore,,,,
Dry desert scrub,,ignore,,,,
Dry desert scrub,,ignore,,,,
Dry desert scrub including,,ignore,,,,
Dry desert scrub including,,ignore,,,,
Dry desert shrub including,,ignore,,,,
Dry desert shrub including,,ignore,,,,
dry duff. Understory more diverse in gaps and on steeper slopes. Associated species,,ignore,,,,
Dry mud flats. Associated species,,ignore,,,,
Dry riparian area. Associated species,,ignore,,,,
dry rocky slopes. Open Jeffrey pine forest. Abundant large fruiting shrub. Assoc. Taxa,,ignore,,,,
dry sandy soil. Assoc. spp.,,ignore,,,,
Dry wash surrounded by mixed conifer and chaparral on slopes and flats. Associated species,,ignore,,,,
Dry wash within coastal. Maritime succulent scrub. Sparse shrub vegetation dominated by Bebbia juncea. Assoc.,,ignore,,,,
Dry wash within coastal/ maritime succulent scrub. Sparse shrub vegetation dominated by Bebbia juncea. Assoc.,,ignore,,,,
Dry wash within coastal/ maritime succulent srub. Sparse shrub vegetation dominated by Bebbia juncea. Assoc.,,ignore,,,,
Dry wash within coastal/maritime succulent scrub. Assoc.,,ignore,,,,
Dryas octopetala and Empetrum nigrum. Other lichen in sample,,ignore,,,,
Dryas octopetala and Empetrum nigrum. Other lichens in sample,,ignore,,,,
Dryas-Equisetum meadow. Associates,,ignore,,,,
Dryas-Equisetum meadow. Associates,,ignore,,,,
Drying margins of lake. Associated taxa,,ignore,,,,
Drymarchon sp.,,ignore,,,,
Dryopteris. Assoc. sp,,ignore,,,,
DSR,,ignore,,,,
duck,,ignore,,,,
Duck,,ignore,,,,
Dudleya variegata. Pools,,ignore,,,,
due to large floods in their habitat they migrate to a high elevation and in dry seasons remain near water.<br/><br/>File,,ignore,,,,
Dune swale on edge of bluff. Associated species,,ignore,,,,
duplicate cast,,ignore,,,,
duplicate cast,,ignore,,,,
duplicate catalog number,,ignore,,,,
duplicate catalog number?,,ignore,,,,
duplicate catalog number?,,ignore,,,,
duplicate recataloged as,,ignore,,,,
Dysdera microdonta (Arthropoda,,ignore,,,,
Dysphania botrys (synonym,,ignore,,,,
E and C Amazonian Brazil,,ignore,,,,
E and C Amazonian Brazil,,ignore,,,,
E-facing slope. Associated species,,ignore,,,,
E. 2004. Infection of snails with bird schistosomes and the threat of swimmer’s itch in selected Polish lakes. Parasitology Research 92(1),,ignore,,,,
E. and S. Olenin. 2000. Non–native species and rates of spread,,ignore,,,,
E. coli O157,,ignore,,,,
E. G. 1993. New species of ciliphoran infusoria genus Mantoscyphidia (Peritricha) from fresh water mollusks. Vestnik Zoologii 0(6),,ignore,,,,
E. H. and J. Pondick. 1981. Rare and endangered species,,ignore,,,,
E.g. of Trophis racemosa (Moraceae),,ignore,,,,
each lobe with a purple spot. Label remarks,,ignore,,,,
east facing bank of trail. Adjacent mixed chaparral,,ignore,,,,
east orientation in part sun. Associated plants,,ignore,,,,
east-southern and central-eastern parts of Lake Baikal. At the type locality Pseudobaikalia michelae sp. n. was sympatric with three other species of baicaliids,,ignore,,,,
east-southern and central-eastern parts of Lake Baikal. At the type locality Pseudobaikalia michelae sp. n. was sympatric with three other species of baicaliids,,ignore,,,,
eaten by,,ignore,,,,
Echinochloa crus-galli/Kochia scoparia,,ignore,,,,
Echinochloa crus-galli/Kochia scoparia,,ignore,,,,
Echinochloa crus-gallii/Kochia scoparia,,ignore,,,,
Echinochloa crus-gallii/Kochia scoparia,,ignore,,,,
Echinochloa sp. Species recorded at plot R83 by AES,,ignore,,,,
Eckelbarger K. J. & Young C. M. (1998). Sperm Morphology and Spermiogenesis in the Methane-Seep Mollusc Bathynerita naticoidea (Gastropoda,,ignore,,,,
ecologicallyOccursWith,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506,,,
ecologicallyOccursWith,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506,,,
Ecology,,ignore,,,,
Ecology,,ignore,,,,
Ecology 45,,ignore,,,,
Ecology in Vietnam. Quercus bella was found on the slopes in evergreen forests in Ba Vi National Park,,ignore,,,,
Ecology in Vietnam. Quercus bella was found on the slopes in evergreen forests in Ba Vi National Park,,ignore,,,,
Ecology of butterflies in natural and selectively logged forests of northern Borneo,,ignore,,,,
Ecology. A large population of several hundreds or thousands of individuals growing in the grasslands of the paramo proper was observed (Fig. 4). Other Espeletiinae found in the area are,,ignore,,,,
Ecology. Algar do Pena is the largest underground chamber of Portugal. The temperature is very constant 13 + / - 1 ° C and relative humidity close to saturation. It is a very oligotrophic cave where only a few cave-adapted species are recorded,,ignore,,,,
Ecology. All specimens of P. elvisi sp. nov. were found associated with vertebrate bones or wood (Table 5). Fig. 6 F shows the holotype observed in situ on sediment next to a whalefall just before collection. Fig. 6 G shows paratype SIO-BIC A 9699 observed in situ on a deployed pig bone before collection. Figure 13. Micrographs of P. elvisi sp. nov. holotype SIO-BIC A 8488 A right parapodium from segment 10 B right parapodium from segment 7 C notochaetae D superior neurochaetae (supra-acicular) E inferior neurochaetae (subacicular). Abbreviations,,ignore,,,,
Ecology. Among rubble in coral reef habitats. Depth,,ignore,,,,
Ecology. Ancylocaris brevicarpalis is obligatory associated with sea anemones (Cnidaria,,ignore,,,,
Ecology. Ancylocaris brevicarpalis is obligatory associated with sea anemones (Cnidaria,,ignore,,,,
Ecology. Currently no information on the ecology is known with the exception of the northernmost species that was collected via traps baited with a local corn beer known as chicha,,ignore,,,,
Ecology. Depth,,ignore,,,,
Ecology. Depth,,ignore,,,,
Ecology. Depth range,,ignore,,,,
Ecology. Depth range,,ignore,,,,
Ecology. Host plant,,ignore,,,,
Ecology. Host plant,,ignore,,,,
Ecology. Host plants,,has host,http://purl.obolibrary.org/obo/RO_0002454,,,
ecology. host plants,,has host,http://purl.obolibrary.org/obo/RO_0002454,,,
Ecology. Host plants,,has host,http://purl.obolibrary.org/obo/RO_0002454,,,
Ecology. Navicula sparsilineolata sp. nov. was found in a the waterfalls with low conductivity and circumneutral pH values (Table 1). Below are the dominant species found in the samples along with N. sparsilineolata sp. nov,,ignore,,,,
Ecology. Philopona usambarica Csiki (in Heikertinger and Csiki 1940,,ignore,,,,
Ecology. Philopona usambarica Csiki (in Heikertinger and Csiki 1940,,ignore,,,,
Ecology. Physodactyla rubiginosa (Gerstaecker 1871,,ignore,,,,
Ecology. Physodactyla rubiginosa (Gerstaecker 1871,,ignore,,,,
Ecology. Polyphagous (cf. Jolivet and Hawkeswood 1995). There is no ecological information on this genus for the Afrotropical region. Luperomorpha biondii Doeberl (2012,,ignore,,,,
Ecology. Polyphagous (cf. Jolivet and Hawkeswood 1995). There is no ecological information on this genus for the Afrotropical region. Luperomorpha biondii Doeberl (2012,,ignore,,,,
Ecology. Preferred environment,,ignore,,,,
Ecology. Specimens of M. orientalis were collected from two locations on Qinling Mountain. We captured all of our new material at midday (11,,ignore,,,,
Ecology. The Afrotropical species of Blepharida are generally associated with shrubs of Rhus (Anacardiaceae) (Furth and Young 1988,,ignore,,,,
Ecology. The Afrotropical species of Blepharida are generally associated with shrubs of Rhus (Anacardiaceae) (Furth and Young 1988,,ignore,,,,
Ecology. The species in this genus are mainly associated with plants in the family Malvaceae (cf. Jolivet and Hawkeswood 1995,,ignore,,,,
Ecology. The species in this genus are mainly associated with plants in the family Malvaceae (cf. Jolivet and Hawkeswood 1995,,ignore,,,,
Ecology. The species of the present genus are all obligate associates of sea anemones (Cnidaria,,ignore,,,,
Ecology. The species of the present genus are all obligate associates of sea anemones (Cnidaria,,ignore,,,,
Ecology. The species was collected in localities BH 023 and BH 025 together with Exocelina polita in ratios 1,,ignore,,,,
Ecology. The species was collected in localities BH 023 and BH 025 together with Exocelina polita in ratios 1,,ignore,,,,
Ecology. The species was collected in two localities on Nok Mountain together with Exocelina evelyncheesmanae and Exocelina waigeoensis and in one locality together with Exocelina evelyncheesmanae in ration ca. 1,,ignore,,,,
Ecology. The species was collected in two localities on Nok Mountain together with Exocelina evelyncheesmanae and Exocelina waigeoensis and in one locality together with Exocelina evelyncheesmanae in ration ca. 1,,ignore,,,,
Ecology. The subspecies is found in canyons and rocky slopes in forests and is associated with,,ignore,,,,
Ecology. The subspecies is found in canyons and rocky slopes in forests and is associated with,,ignore,,,,
Ecology. This genus is probably polyphagous and has been reported mainly from the following plant families,,ignore,,,,
Ecology. This genus is probably polyphagous and has been reported mainly from the following plant families,,ignore,,,,
Ecology. This species feeds on the mealybugs Phenacoccus aceris and Planococcus citri (Pseudococcidae) (Moddarres-Awal 2012). Figures 32 - 39. Morphological details and male genitalia of Chilocorini species 32 - 34 E. quadripustulatus,,ignore,,,,
Ecology. This species feeds on the mealybugs Phenacoccus aceris and Planococcus citri (Pseudococcidae) (Moddarres-Awal 2012). Figures 32 - 39. Morphological details and male genitalia of Chilocorini species 32 - 34 E. quadripustulatus,,ignore,,,,
Ecology. We observed that D. adenocarpus has a tubular calyx which can retain and immerse the buds in water (see Suppl. material 1,,ignore,,,,
ecotype,,ignore,,,,
ectoparasite,,ectoparasite of,http://purl.obolibrary.org/obo/RO_0002632,,,
ectoparasite of,,ectoparasite of,http://purl.obolibrary.org/obo/RO_0002632,,,
Ectoparasite of,,ectoparasite of,http://purl.obolibrary.org/obo/RO_0002632,,,
Ectoparasite Of,,ectoparasite of,http://purl.obolibrary.org/obo/RO_0002632,,,
ectoparásito,,ectoparasite of,http://purl.obolibrary.org/obo/RO_0002632,,,
Ectoparásito,,ectoparasite of,http://purl.obolibrary.org/obo/RO_0002632,,,
ectoparasito de,,ectoparasite of,http://purl.obolibrary.org/obo/RO_0002632,,,
Ectoparasito de,,ectoparasite of,http://purl.obolibrary.org/obo/RO_0002632,,,
ectoparásito de,,ectoparasite of,http://purl.obolibrary.org/obo/RO_0002632,,,
Ectoparásito de,,ectoparasite of,http://purl.obolibrary.org/obo/RO_0002632,,,
ectoparásitos,,ectoparasite of,http://purl.obolibrary.org/obo/RO_0002632,,,
Ectoparásitos,,ectoparasite of,http://purl.obolibrary.org/obo/RO_0002632,,,
Ecuador. Wild origin,,ignore,,,,
Ecuador). Wild origin,,ignore,,,,
Ed.). Ithaca,,ignore,,,,
Ed.). Ithaca,,ignore,,,,
Edge of lawn Vernacular Name,,ignore,,,,
edge species,,ignore,,,,
effect of light and temperature. Animal Behaviour 37(6),,ignore,,,,
egg,,ignore,,,,
egg,,ignore,,,,
egg of,,ignore,,,,
egg set includes egg from nest parasite,,ignore,,,,
egg set includes egg of nest parasite,,ignore,,,,
Egypt File,,ignore,,,,
eixo fl 1m.Flor branca. Fruto castanho. Frequencia,,ignore,,,,
Elaeocarpaceae,,ignore,,,,
Elemental analyses sample,,ignore,,,,
Elemental analysis,,ignore,,,,
Elemental Analysis,,ignore,,,,
Elemental analysis lichens,,ignore,,,,
Elemental Analysis lichens,,ignore,,,,
Elemental analysis material,,ignore,,,,
Elemental Analysis material,,ignore,,,,
Elemental Analysis Material,,ignore,,,,
Elemental analysis materials,,ignore,,,,
Elements of tropical caducifolious forest,,ignore,,,,
Eleocharis erythropoda,,ignore,,,,
Eleocharis erythropoda,,ignore,,,,
ElyW,,ignore,,,,
ElyW,,ignore,,,,
embryo of,,ignore,,,,
Emerged ex,,ignore,,,,
emerged from,,ignore,,,,
En,,ignore,,,,
en árbol cortado Phenology,,ignore,,,,
En inflorescencia de,,ignore,,,,
en la vegetacion aleda¤a se encuentra,,ignore,,,,
En movimiento,,ignore,,,,
en sous-étage,,ignore,,,,
en una zona de Prosopis juliflora,,ignore,,,,
En vuelo,,ignore,,,,
Encelia californica. Other associates,,ignore,,,,
Encelia farinosa,,ignore,,,,
Encelia farinosa and Hymenoclea salsola. Early in the year and after a good amount of rain. Some of the common annuals that were coming up were,,ignore,,,,
Encelia virginensis,,ignore,,,,
Encontrado en,,ignore,,,,
Encontrado sobre,,ignore,,,,
Encyonema javanicum (Hustedt) D. G. Mann. Sample 00328,,ignore,,,,
Encyonema leei Krammer. Sample 00269,,ignore,,,,
Encyonopsis fonticola (Hustedt) Krammer. Sample 00956,,ignore,,,,
Endiandra maontana and Flindersia bourjotiana. Small tree and shrubs,,ignore,,,,
Endoparasite Of,,ignore,,,,
Enidae). Zoological Science 24(9),,ignore,,,,
enraizada en el fondo del agua con los organos vegetativos emergentes,,ignore,,,,
Enterotoxigenic Escherichia coli serovar O,,ignore,,,,
entirely red to entirely green. Pedicels and calyx lobes yellow. Fruit an oblong white berry. Label remarks,,ignore,,,,
entirely yellow. Label remarks,,ignore,,,,
Entomopatógeno,,ignore,,,,
epibiont,,has host,http://purl.obolibrary.org/obo/RO_0002454,,,
epibiont,,has host,http://purl.obolibrary.org/obo/RO_0002454,,,
epibiont,,has host,http://purl.obolibrary.org/obo/RO_0002454,,,
Epibiont,,has host,http://purl.obolibrary.org/obo/RO_0002454,,,
Epibionte,,has host,http://purl.obolibrary.org/obo/RO_0002454,,,
Epífita,,epiphyte of,http://purl.obolibrary.org/obo/RO_0008501,,,
Epífita de,,epiphyte of,http://purl.obolibrary.org/obo/RO_0008501,,,
Epífita de,,epiphyte of,http://purl.obolibrary.org/obo/RO_0008501,,,
epifita en,,epiphyte of,http://purl.obolibrary.org/obo/RO_0008501,,,
Epilampra sp. (Blaberidae,,ignore,,,,
Epilobium brachycarpum,,ignore,,,,
Epipactis helleborine (+). Aufn.,,ignore,,,,
Epiparásito,,hyperparasite of,http://purl.obolibrary.org/obo/RO_0002553,,,
epiparásito,,hyperparasite of,http://purl.obolibrary.org/obo/RO_0002553,,,
Epiparásito,,hyperparasite of,http://purl.obolibrary.org/obo/RO_0002553,,,
epiphyte on,,epiphyte of,http://purl.obolibrary.org/obo/RO_0008501,,,
Epiphytes,,epiphyte of,http://purl.obolibrary.org/obo/RO_0008501,,,
epiphytic on,,epiphyte of,http://purl.obolibrary.org/obo/RO_0008501,,,
epipihyte on,,epiphyte of,http://purl.obolibrary.org/obo/RO_0008501,,,
Epriophorum-Carex-dwarf shrub meadow,,ignore,,,,
Equisetum arvense.  Assoc. sp.,,ignore,,,,
Equisetum arvense.  Assoc. sp.,,ignore,,,,
Equisetum arvense. Principal bryophyte associates,,ignore,,,,
Equus ferus caballus (domestic horse) Foal (Age,,ignore,,,,
erect. Label remarks,,ignore,,,,
Eria,,ignore,,,,
Ericameria cooperi and Lycium andersonii. Annuls,,ignore,,,,
Ericameria linearifolia dominant. Associates,,ignore,,,,
Eriocaulon decangulare,,ignore,,,,
Eriodictyon trichocalyx Dominants in mesic areas,,ignore,,,,
Eriodictyon-dominated chaparral. Associated spediess,,ignore,,,,
Eriodictyum trichocalys. Dominants in mesic areas,,ignore,,,,
Eriodictyum trichocalyx. Dominants in mesic areas,,ignore,,,,
Eriogonum f.,,ignore,,,,
Eriogonum fasciculatum,,ignore,,,,
Eriogonum fasciculatum-Salvia apiana Association. Dominant species,,ignore,,,,
Eriogonum wrightii is dominant. Associates,,ignore,,,,
Eriogonum wrightii. Grass cover,,ignore,,,,
Eriogonum wrightii. Grass Cover,,ignore,,,,
Eroded caliche area. Associated species,,ignore,,,,
Erodium cicutarium). Common shrubs,,ignore,,,,
Erva aquatica enraizada. Flor branca. Abundante. Chapeu-de-Couro. Interesse Economico,,ignore,,,,
Erva rosulada. Flor branca. Frequente. Piquete proximo ao corixo mutum. Folhas glaucas. Interesse economico,,ignore,,,,
Erva rosulada. Frequente. Interesse Economico,,ignore,,,,
Eryngium. Uplands,,ignore,,,,
Erythrophleum chlorostachys. T3,,ignore,,,,
Escherichia coli O,,ignore,,,,
Escherichia coli O103,,ignore,,,,
Escherichia coli O104,,ignore,,,,
Escherichia coli O111,,ignore,,,,
Escherichia coli O121,,ignore,,,,
Escherichia coli O145,,ignore,,,,
Escherichia coli O157,,ignore,,,,
Escherichia coli O26,,ignore,,,,
Escherichia coli O55,,ignore,,,,
Escherichia coli O78,,ignore,,,,
Escherichia coli S88 O45,,ignore,,,,
Escherichia coli serotype O157,,ignore,,,,
Escherichia coli ST131 O25b,,ignore,,,,
Escherichia coli strain O174,,ignore,,,,
esp. Texas stork's bill. Assoc. spp,,ignore,,,,
especially below 2nd rapids are below Little Big Falls,,ignore,,,,
especially below 2nd rapids area below Little Bull Falls,,ignore,,,,
especially below 2nd rapis area below Little Bull Falls,,ignore,,,,
especially during the rainy season. They are quite fast and usually hide among the holes in the calcite rocks. They are found among and probably serve as prey for nymphs of whipspiders (Arachnida,,ignore,,,,
especially during the rainy season. They are quite fast and usually hide among the holes in the calcite rocks. They are found among and probably serve as prey for nymphs of whipspiders (Arachnida,,ignore,,,,
especies acompañantes,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506,,,
especies asociadas,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506,,,
Especies asociadas,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506,,,
especies asociadsa,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506,,,
especies características,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506,,,
especies co-habitantes,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506,,,
Established dunes including,,ignore,,,,
estambres amarillos. Uso,,ignore,,,,
Estes J. A. & Warheit K. I. (1998). Human influences on trophic cascades along rocky shores. Ecol. Appl. 8,,ignore,,,,
et al. “Friend or Foe,,ignore,,,,
et al. (2001). Geographic distribution,,ignore,,,,
et al. (2005). The biology of Corema conradii,,ignore,,,,
et al. 2007. Carex saxatilis. Flora of the Canadian Arctic Archipelago,,ignore,,,,
etc.,,ignore,,,,
etc. (Note,,ignore,,,,
etc. Note,,ignore,,,,
etc. Spp,,ignore,,,,
Eucalyptus grove. Associated species,,ignore,,,,
Eucalyptus mearnsii. Host common name,,ignore,,,,
Eucalyptus. Host common name,,ignore,,,,
Eunotia indosinica Glushchenko & Kulikovskiy. Sample 03773,,ignore,,,,
Eupatorium rugosum. Species recorded at plot T78 by AES,,ignore,,,,
Euphde. Prairie,,ignore,,,,
Euphorbia heterophylla voucher CNPH,,ignore,,,,
Euphorbiaceae,,ignore,,,,
Evolution and Systematics - Biological Flora of Central Europe,,ignore,,,,
Evolution of carnivorous gastropods of the family Costellariidae (Neogastropoda) in the framework of molecular phylogeny. Ruthenica 20(2),,ignore,,,,
Evolutionary History of Bats,,ignore,,,,
ex,,ignore,,,,
Ex,,ignore,,,,
EX,,ignore,,,,
ex backwater of Estero Tastiota. Associated species,,ignore,,,,
ex pressed plant,,ignore,,,,
ex.,,ignore,,,,
Exciccati collection,,ignore,,,,
exotic species here. Other species collected here on this date include,,ignore,,,,
Exotics,,ignore,,,,
Exsicat Collection,,ignore,,,,
Exsicatti collection,,ignore,,,,
extra-Amazonian Brazil,,ignore,,,,
extra-Amazonian Brazil,,ignore,,,,
EZA/ZZA 1,,ignore,,,,
F. nigra. Subdominants,,ignore,,,,
F. nigra. Subdominants,,ignore,,,,
F. Zant and H. Coops. 1997. Charophytes,,ignore,,,,
Fabaceae,,ignore,,,,
FAC-. Associates,,ignore,,,,
Fagus grandifolia. Subdominants,,ignore,,,,
Fagus grandifolia. Subdominants,,ignore,,,,
Falco deiroleucus (Aves,,ignore,,,,
fallen,,ignore,,,,
Fallugia paradoxa,,ignore,,,,
family Charopidae and also feeding on earthworms and on its own species (cannibalism).Murdoch R. C. (1894) Notes on the variation and habits of Schizoglossa novoseelandica. Proceedings of the malacological society 1(3),,ignore,,,,
Fauna associated with,,ignore,,,,
FCAV,,ignore,,,,
Fe individuals in area. Approx. no. stems,,ignore,,,,
featuring a generalised pollination syndrome.<br/><br/>Image,,ignore,,,,
featuring a generalised pollination syndrome.<br/><br/>Image,,ignore,,,,
fecundity and the sex of the offspring,,ignore,,,,
Feeding Barred grass snake swimming,,ignore,,,,
feeding behaviour and diet of four sympatric species of Serranidae (Actinopterygii,,ignore,,,,
feeding of microalgae and on detritus.Takada Y. (2000). Activity patterns of Clithon oualaniensis (Mollusca,,ignore,,,,
Feeding on,,ignore,,,,
feeding on flowers,,ignore,,,,
feeding on leaves,,ignore,,,,
Feeds on,,ignore,,,,
feeds on sponges. The only sponge identified as its food source is Hyrtios erectus.McDonald G. R. & Nybakken  J. W. (last change,,ignore,,,,
feeds on the aerial parts of Helichrysum armenium in Iranian mountainous regions (range of collecting localities,,ignore,,,,
feeds on the aerial parts of Helichrysum armenium in Iranian mountainous regions (range of collecting localities,,ignore,,,,
Female flowers Image,,ignore,,,,
female plant. Associates,,ignore,,,,
Few associates include,,ignore,,,,
few live plants,,ignore,,,,
Ficus yoponensis is pollinated by the fig wasp Tetrapus ecuadoranus,,ignore,,,,
Ficus. Host common name,,ignore,,,,
Field Layer,,ignore,,,,
field number,,ignore,,,,
File,,ignore,,,,
File,,ignore,,,,
fimbriate. Immature corolla red. Label remarks,,ignore,,,,
fimbriations sometimes absent on lateral lobes. Fruit an orange globose berry. Growing in sunny disturbed site. Label remarks,,ignore,,,,
Firebreak recovering well. ith annual grasses. Associated species,,ignore,,,,
FIRST LOCATION,,ignore,,,,
Fish ID,,ignore,,,,
fishes,,ignore,,,,
Fitófago,,ignore,,,,
Flarks,,ignore,,,,
flarks,,ignore,,,,
Flarks,,ignore,,,,
flat area of mixed chaparral. Associates,,ignore,,,,
Flat chaparral with annual grasses. Associated species,,ignore,,,,
Flat chaparral. Associated species,,ignore,,,,
Flat open meadow in hanging valley. Associated species,,ignore,,,,
Flat ridgetop just S of planted pine population. Associated species,,ignore,,,,
Flat sandy alluvial substrate. Occasional. Associates,,ignore,,,,
Flat-top Buckwheat herbland,,ignore,,,,
flats,,ignore,,,,
flats behind foredunes. Associated species,,ignore,,,,
Flats with scattered shrubs. Associated species,,ignore,,,,
flats. Associated species,,ignore,,,,
Flats. Associated species,,ignore,,,,
fleshy leaves and fruits that may grow in the area. Atriplex nummularia,,ignore,,,,
Floating mat associates include,,ignore,,,,
Floodplain with dense riparian vegetation growing in sand and cobble. Associated species,,ignore,,,,
floodplain. Associated species,,ignore,,,,
flôr,,ignore,,,,
Flôr,,ignore,,,,
Flor branca. interesse economico,,ignore,,,,
Flor visitada,,visits flower of,http://purl.obolibrary.org/obo/RO_0002622,,,
flor visitada,,visits flower of,http://purl.obolibrary.org/obo/RO_0002622,,,
Flor visitada,,visits flower of,http://purl.obolibrary.org/obo/RO_0002622,,,
flores amarillas con manchas cafés y brácteas rosadas Phenology,,ignore,,,,
flores amarillas Phenology,,ignore,,,,
flores anaranjadas. Uso,,ignore,,,,
flores color tomate Phenology,,ignore,,,,
flores con cáliz amarillos y pétalos con los ápices rojos Our remarks,,ignore,,,,
flores rojas pubescentes. Phenology,,ignore,,,,
flores y frutos anaranjados Phenology,,ignore,,,,
Flower,,ignore,,,,
flower,,ignore,,,,
Flower,,ignore,,,,
Flower collection in alcohol Phenology,,ignore,,,,
Flower odor,,ignore,,,,
flowers,,ignore,,,,
Flowers,,ignore,,,,
flowers appearing fasciculate and epundulate (peduncles 1-3 mm long). Calyx orange. Corolla orange and tubular. Label remarks,,ignore,,,,
flowers not resupinate). Our remarks,,ignore,,,,
flowers pendent and resupinate Label remarks,,ignore,,,,
flowers resupinate Phenology,,ignore,,,,
